VD_hat,VF_hat,VP_hat,CFP_hat,V_adj_hat,SE_adj_hat,design_id,n_stage1_per_form,n_stage2_per_order,total_response_burden,total_participants,repeated_measurement_participants,scenario_id,phase,true_change_logit,R,valid_n
0.02605820320309991,0.00013206977159884397,0.0003246208587579894,-1.3398907153358788e-06,0.02651564803444084,0.1616405387794296,GBM01-N1-300-N2-040,300,40,13680,680,80,S09,screen,0.0,3000,2899
0.023312302530887643,6.94354907180417e-05,7.755613462334016e-05,2.122597467189946e-08,0.023459564945475974,0.15289118780623112,GBM01-N1-100-N2-150,100,150,14400,500,300,S01,screen,0.0,3000,2968
0.022677333871531997,6.783119049681072e-05,7.558224145601264e-05,1.5206154480403826e-07,0.022820758289909787,0.15078588508494373,GBM01-N1-100-N2-150,100,150,14400,500,300,S02,screen,0.0,3000,2976
0.026528722696758267,7.966654251777493e-05,8.834997792052646e-05,-1.808719111753879e-07,0.026696882557286434,0.16311760618510193,GBM01-N1-100-N2-150,100,150,14400,500,300,S03,screen,0.0,3000,2961
0.014976261871880192,4.3764063203890665e-05,4.977488833053266e-05,1.1173883163067252e-09,0.015070060736058497,0.12248673613695214,GBM01-N1-100-N2-150,100,150,14400,500,300,S04,screen,0.0,3000,2979
0.022063483619154285,6.586197812240085e-05,7.353676171461227e-05,5.698374800127563e-07,0.02220289646183638,0.14873061540223026,GBM01-N1-100-N2-150,100,150,14400,500,300,S05,screen,0.0,3000,2967
0.027703071671372384,8.137538374477208e-05,9.245501425039108e-05,2.616433361432275e-07,0.02787670854479182,0.16665255434399198,GBM01-N1-100-N2-150,100,150,14400,500,300,S06,screen,0.0,3000,2974
0.0277193200623072,8.119120480496879e-05,9.2238709046721e-05,5.270293478035054e-07,0.027893033150820715,0.16669861801272617,GBM01-N1-100-N2-150,100,150,14400,500,300,S07,screen,0.0,3000,2968
0.032844308083836926,9.497184842765286e-05,0.00010930165975876652,3.738341487129916e-07,0.03304889157838708,0.18143454074584073,GBM01-N1-100-N2-150,100,150,14400,500,300,S08,screen,0.0,3000,2959
0.025784465181456384,7.617817335933058e-05,8.604306432480056e-05,-1.114869874312467e-06,0.02594652092806191,0.16077418847631186,GBM01-N1-100-N2-150,100,150,14400,500,300,S09,screen,0.0,3000,2897
0.023305194180270328,8.628476637211894e-05,0.00011666046365586665,4.491196508389249e-08,0.02350795514428538,0.15291362184629495,GBM01-N1-200-N2-100,200,100,14400,600,200,S01,screen,0.0,3000,2979
0.02274164633506876,8.469581958514332e-05,0.00011372162615010708,1.225697927757836e-07,0.022940055138532527,0.151048348903752,GBM01-N1-200-N2-100,200,100,14400,600,200,S02,screen,0.0,3000,2968
0.026642127334747374,0.00010007751626203381,0.0001328138310028334,1.2956892247014584e-07,0.02687560581383376,0.16351754254135253,GBM01-N1-200-N2-100,200,100,14400,600,200,S03,screen,0.0,3000,2969
0.014964634681937726,5.3023024035119656e-05,7.474219663906828e-05,6.742706641472228e-09,0.015092505111383839,0.1224483648387126,GBM01-N1-200-N2-100,200,100,14400,600,200,S04,screen,0.0,3000,2974
0.02203189905412378,8.171120904135972e-05,0.000110153578362257,6.554453861515343e-07,0.022223770379755942,0.1486507282761588,GBM01-N1-200-N2-100,200,100,14400,600,200,S05,screen,0.0,3000,2963
0.027601150817800655,9.816020013333866e-05,0.00013781464368808695,4.824754156733313e-07,0.0278373744444831,0.16636351266765947,GBM01-N1-200-N2-100,200,100,14400,600,200,S06,screen,0.0,3000,2971
0.027585442541553276,9.823180410027221e-05,0.00013798998958120985,8.095960258244064e-08,0.02782160631113466,0.16632956586478698,GBM01-N1-200-N2-100,200,100,14400,600,200,S07,screen,0.0,3000,2962
0.03271150442748942,0.0001129751396398938,0.00016362662324774757,4.6358270297416384e-07,0.032988022660951515,0.18112906149411756,GBM01-N1-200-N2-100,200,100,14400,600,200,S08,screen,0.0,3000,2972
0.025953562328415173,9.344924253738921e-05,0.00012963333769557168,-8.427141741002227e-07,0.02617683374477489,0.1613071699712056,GBM01-N1-200-N2-100,200,100,14400,600,200,S09,screen,0.0,3000,2863
0.023427847490347486,0.0001135396769482921,0.0002332255193118288,-3.7068391590583995e-07,0.023775730197945284,0.15339558948823492,GBM01-N1-300-N2-050,300,50,14400,700,100,S01,screen,0.0,3000,2960
