design_id,n_stage1_per_form,n_stage2_per_order,total_response_burden,total_participants,repeated_measurement_participants,scenario_id,phase,true_change_logit,R,valid_n,ab_count,ba_count,false_reliable_change_rate,false_reliable_change_ci_low,false_reliable_change_ci_high,false_increase_rate,false_decrease_rate,indeterminate_rate,indeterminate_ci_low,indeterminate_ci_high,se_signed_rel_bias,se_signed_rel_bias_ci_low,se_signed_rel_bias_ci_high,se_abs_rel_error,se_abs_rel_error_ci_low,se_abs_rel_error_ci_high,form_bias_norm,form_bias_norm_ci_low,form_bias_norm_ci_high,practice_bias_norm,practice_bias_norm_ci_low,practice_bias_norm_ci_high
GBM01-N1-050-N2-040,50,40,4680,180,80,S04,screen,0.0,3000,2978,1500,1500,0.06633333333333333,0.05556057602916772,0.07902007992558686,0.033,0.03333333333333333,0.007333333333333333,0.004267676697941736,0.012573375954731052,-0.006321962817920595,-0.012513410671909756,-0.00013051496393143552,0.1047670333035672,0.10103067285403888,0.1085033937530955,-9.3891154970531e-05,-0.004781355631084532,0.00459357332114347,-0.0005685461933943616,-0.005779815939794786,0.0046427235530060625
GBM01-N1-050-N2-040,50,40,4680,180,80,S05,screen,0.0,3000,2966,1500,1500,0.06266666666666666,0.05220568587476399,0.0750578195922906,0.03233333333333333,0.030333333333333334,0.011333333333333334,0.007323548324461517,0.01749985031479309,-0.004587391071233495,-0.010179161824236543,0.001004379681769552,0.09538930374123988,0.0920796910742353,0.09869891640824446,0.001581551701798247,-0.0032404078485334135,0.006403511252129907,-0.0013568768403048688,-0.00658918281805848,0.003875429137448742
GBM01-N1-050-N2-040,50,40,4680,180,80,S06,screen,0.0,3000,2962,1500,1500,0.058,0.04795179775338438,0.06999897072932477,0.029666666666666668,0.028333333333333332,0.012666666666666666,0.008379752870551895,0.01910442776422998,-0.007963006675014758,-0.01362636959939574,-0.0022996437506337735,0.09553699734073418,0.09210718434950335,0.098966810331965,0.001835147792241975,-0.0028376208731681766,0.006507916457652126,-0.003975667461258616,-0.00928305886424452,0.0013317239417272872
GBM01-N1-050-N2-040,50,40,4680,180,80,S07,screen,0.0,3000,2962,1500,1500,0.05466666666666667,0.04492528526158589,0.06637352823230508,0.027666666666666666,0.027,0.012666666666666666,0.008379752870551895,0.01910442776422998,-0.006756878198104113,-0.012325708875753417,-0.0011880475204548088,0.09391793040776783,0.09054904901445882,0.09728681180107684,0.00410194275221384,-0.0006294447730582076,0.008833330277485887,-4.3092923113224126e-05,-0.0052484835343700464,0.005162297688143597
GBM01-N1-050-N2-040,50,40,4680,180,80,S08,screen,0.0,3000,2973,1500,1500,0.06266666666666666,0.05220568587476399,0.0750578195922906,0.03333333333333333,0.029333333333333333,0.009,0.0055166755619983614,0.014650354585083519,-0.003540164541013575,-0.009211268478013655,0.0021309393959865054,0.09544851978090041,0.092006039180378,0.09889100038142282,-0.0013977439678684173,-0.005983286929840493,0.0031877989941036583,0.002482525316968466,-0.0027372733268110866,0.007702323960748018
GBM01-N1-050-N2-040,50,40,4680,180,80,S09,screen,0.0,3000,2953,1500,1500,0.05466666666666667,0.04492528526158589,0.06637352823230508,0.03166666666666667,0.023,0.015666666666666666,0.010804774596974891,0.02266616552774335,-0.006928316888780294,-0.012535242772532306,-0.0013213910050282815,0.09493048830896315,0.0915703326024184,0.09829064401550791,-0.020783372226497322,-0.02540529502829978,-0.016161449424694864,0.00300365161376232,-0.0022774776445446104,0.00828478087206925
GBM01-N1-050-N2-050,50,50,5400,200,100,S01,screen,0.0,3000,2961,1500,1500,0.05266666666666667,0.043114575095298605,0.06419306540530144,0.02666666666666667,0.026,0.013,0.008646080030504492,0.019503296103159207,-0.003925630121497914,-0.008877027872453912,0.0010257676294580832,0.08352990172961954,0.08054472906250873,0.08651507439673034,0.0017541685601799358,-0.002571249582983815,0.006079586703343687,7.729528518961885e-05,-0.004636179013093992,0.00479076958347323
GBM01-N1-050-N2-050,50,50,5400,200,100,S02,screen,0.0,3000,2966,1500,1500,0.05266666666666667,0.043114575095298605,0.06419306540530144,0.026333333333333334,0.026333333333333334,0.011333333333333334,0.007323548324461517,0.01749985031479309,-0.004939398674977369,-0.009942556515027848,6.375916507310887e-05,0.08429125278825232,0.08126024420555261,0.08732226137095203,0.0005179062009043471,-0.0037708373541369255,0.00480664975594562,-0.0028708481019060752,-0.007504027924598372,0.0017623317207862213
GBM01-N1-050-N2-050,50,50,5400,200,100,S03,screen,0.0,3000,2973,1500,1500,0.05366666666666667,0.04401942478148128,0.06528380221576421,0.027,0.02666666666666667,0.009,0.0055166755619983614,0.014650354585083519,-0.006500121482422459,-0.011284259091390733,-0.001715983873454184,0.08081902089735578,0.07792066766884058,0.08371737412587098,-0.00044914833127229043,-0.00492102083205769,0.0040227241695131085,0.0011228862110920588,-0.0036777070080471945,0.005923479430231312
GBM01-N1-050-N2-050,50,50,5400,200,100,S04,screen,0.0,3000,2972,1500,1500,0.061,0.05068430418606185,0.07325322378658364,0.031,0.03,0.009333333333333334,0.00577105869837476,0.015061166947588942,-0.008347812597352627,-0.013797342191877164,-0.00289828300282809,0.09242507078843071,0.0891423961948144,0.09570774538204702,0.0003885646728394462,-0.0038595766169589826,0.004636705962637875,-0.003051272967494602,-0.00780365759037456,0.0017011116553853566
GBM01-N1-050-N2-050,50,50,5400,200,100,S05,screen,0.0,3000,2963,1500,1500,0.063,0.05251023636990424,0.07541846459603219,0.034333333333333334,0.028666666666666667,0.012333333333333333,0.008114301233505893,0.01870468390239417,-0.001887606831632434,-0.0068567592694919344,0.0030815456062270666,0.08444490292179344,0.0814907350173767,0.08739907082621017,-0.0008144088932195794,-0.0052448755110489215,0.003616057724609762,0.000127689941127506,-0.004656960015650189,0.0049123398979052015
GBM01-N1-050-N2-050,50,50,5400,200,100,S06,screen,0.0,3000,2965,1500,1500,0.056,0.04613462719335834,0.06782496829605988,0.028,0.028,0.011666666666666667,0.007586161737740677,0.017902432400395754,-0.005479854754572873,-0.010446872674289237,-0.0005128368348565095,0.08394253154008219,0.08094832440894538,0.086936738671219,0.002833229036200833,-0.0014729486300693695,0.007139406702471035,-0.002125491168661904,-0.0068840219434476106,0.0026330396061238024
GBM01-N1-050-N2-050,50,50,5400,200,100,S07,screen,0.0,3000,2969,1500,1500,0.055,0.04522745888733454,0.06673655010543823,0.028333333333333332,0.02666666666666667,0.010333333333333333,0.006542037223830099,0.01628577491877905,-0.01055751609817042,-0.015484639824139054,-0.005630392372201784,0.0836467782317394,0.0806660792490207,0.0866274772144581,-0.001267817476893892,-0.0056813976847945695,0.003145762731006785,-0.0003803932782976093,-0.00498831636552691,0.004227529808931691
GBM01-N1-050-N2-050,50,50,5400,200,100,S08,screen,0.0,3000,2963,1500,1500,0.058666666666666666,0.04855833615612269,0.07072282332435008,0.03133333333333333,0.027333333333333334,0.012333333333333333,0.008114301233505893,0.01870468390239417,-0.006751808333531205,-0.011779301677099778,-0.0017243149899626312,0.08487133243611043,0.08183114766876365,0.08791151720345722,0.003228878235042146,-0.0009832160757714107,0.007440972545855703,0.0012384193117625202,-0.0034380420562848558,0.005914880679809897
GBM01-N1-050-N2-050,50,50,5400,200,100,S09,screen,0.0,3000,2949,1500,1500,0.063,0.05251023636990424,0.07541846459603219,0.03166666666666667,0.03133333333333333,0.017,0.011900385646304967,0.024231336473940546,-0.0011328255205969604,-0.006205434002380072,0.003939782961186152,0.08580004597974,0.08277253856210884,0.08882755339737117,-0.0172539480945814,-0.02153910904558634,-0.01296878714357646,0.0012666867673838279,-0.003510881572320764,0.00604425510708842
GBM01-N1-050-N2-075,50,75,7200,250,150,S01,screen,0.0,3000,2979,1500,1500,0.058,0.04795179775338438,0.06999897072932477,0.028,0.03,0.007,0.0040231137598159905,0.012152743393974982,-0.004070692039276784,-0.008049371400715717,-9.201267783785164e-05,0.06793929762955385,0.06557644835759409,0.07030214690151361,0.0003792062347468455,-0.003246014603095477,0.004004427072589168,0.0001376753509295761,-0.003690667921049709,0.003966018622908862
